;;;thick;thin;fat;slim;broad;narrow;wide;large;spacious
толстые / тонкие слои;бумага;sheet of paper;+;+;;;;;;;
толстые / тонкие слои;слой пыли;layer;+;+;;;;;;;
толстые / тонкие слои;ткань;textile;+;+;;;;;;;
толстые / тонкие слои;книга;book;+;+;;;;;;;
толстые / тонкие слои;стена;wall;+;+;;;+;+;;+;
толстые / тонкие стержни;столб;pole;;;;;;;;;
толстые / тонкие стержни;дерево;tree;;;;;;;;;
толстые / тонкие стержни;ветка;branch;;;;;;;;;
толстые / тонкие стержни;палка;stick;;;;;;;;;
толстые / тонкие стержни;веревка;rope;+;+;;;;;;;
толстые / тонкие стержни;волосы;hair;+;+;;;;;;;
толстые / тонкие стержни;дудка;pipe;+;+;;;;;;;
однородное множество относительно крупных элементов;песок;sand;+;+;;;;;;;
разреженная консистенция: газообразное вещество;туман;fog;+;+;;;;;;;
плотная консистенция: жидкость;дождь;rain;;;;;;;;;
плотная консистенция: жидкость;каша;porridge;+;;;;;;;;
разреженная консистенция: твёрдые объекты;лес;forest;;;;;;;;;
человек;человек;person;;;+;+;;;;;
широкие полосы;тесьма;braid;+;+;;;;;;;
широкие полосы;доска;plank;;;;;;+;;+;
широкие полосы;дорога;road;;;;;;+;;+;
широкие полосы;окно;window;;;;;;+;;+;
широкая поверхность;поле;field;;;;;;;;+;
широкие отверстия;горлышко бутылки;bottleneck;;;;;;+;;+;
широкие трубки (функциональная внутренняя поверхность);коридор;hallway;;;;;;+;;+;
широкие трубки (функциональная внутренняя поверхность);улица;street;;;;;;+;+;;
широкие трубки (функциональная внутренняя поверхность);труба;trumpet;;;;;;;;;
широкая/просторная обувь/одежда;юбка;skirt;;;;;;+;+;;
широкая/просторная обувь/одежда;туфли;shoe;;;;;;+;+;;
просторное пространство;комната;room;;;;;;+;;;+
просторное пространство;кровать;bed;;;;;;+;;;+